Ragione sociale;Tipo organizzazione;Indirizzo;Comune;Telefono;Email;Referente Email
ELETTROFRIGO SRL;AZIENDA;VIA PACINOTTI, 23;SOMMACAMPAGNA;458580463;amministrazione@elettrofrigo.com;
ELETTROFRIGO SRL;AZIENDA;VIA PACINOTTI, 23;SOMMACAMPAGNA;458580463;amministrazione@elettrofrigo.com;
ECO TYPE S.A.S.;AZIENDA;VIA BELVIGLIERI, 50;VERONA;45528269;fornitori@ecotype.it;
ZUCCHETTI S.P.A.;AZIENDA;SOLFERINO, 1;VERONA;0371 5941;maurizio.lugoboni@zucchetti.it;
COMUNE DI SAN PIETRO IN CARIANO;ENTE PUBBLICO;VIA CHOPIN, 3;SAN PIETRO IN CARIANO;456832111;protocollo@comune.sanpietroincariano.vr.it ;
CORTE GIARA S.R.L.;AZIENDA;VIA GIARE, 5;FUMANE;456832063;amministrazione@allegrini.it;
TABACCHERIA CARTOLIBRERIA VESENTINI SUSANNA;AZIENDA;VIA G MARCONI, 76;ISOLA RIZZA;457135777;vesentinisusanna@alice.it;
TABACCHERIA CARTOLIBRERIA VESENTINI SUSANNA;AZIENDA;VIA G MARCONI, 76;ISOLA RIZZA;457135777;vesentinisusanna@alice.it;
GRUPPO SINERGIA S.R.L.;AZIENDA;VIALE ARTIGIANATO, 32;POVEGLIANO VERONESE;456351570;mirko.ambrosi@grupposinergia.com;
GRUPPO SINERGIA S.R.L.;AZIENDA;VIALE ARTIGIANATO, 32;POVEGLIANO VERONESE;456351570;mirko.ambrosi@grupposinergia.com;
ELECTRONIC DESIGN S.A.S.;AZIENDA;VILLAGGIO ROSELANT, 14;BOSCO CHIESANUOVA;457080698;info@electronicdesign.it;
PAGIN AUTO S.R.L.;AZIENDA;VIA MADONNA, 219;BOVOLONE;457100077;paginauto@email.it;
A.A.T.C. AND CO S.R.L.;AZIENDA;VIA NAPOLEONE, 8;SANT'AMBROGIO DI VALPOLICELLA;456861627;contabilita@aatc.it;
A.A.T.C. AND CO S.R.L.;AZIENDA;VIA NAPOLEONE, 8;SANT'AMBROGIO DI VALPOLICELLA;456861627;contabilita@aatc.it;
MESAROLI LOGISTICA S.P.A.;AZIENDA;VIA TIONE, 14;TREVENZUOLO;457359456;elisa.zanini@mesaroli.com;
INFOVAL S.R.L.;AZIENDA;VIALE DEL LAVORO, 2;GREZZANA;458650746;gzanini@forgreenlife.it;
INFOVAL S.R.L.;AZIENDA;VIALE DEL LAVORO, 2;GREZZANA;458650746;gzanini@forgreenlife.it;
CAB LOG S.R.L.;AZIENDA;VIA TORRICELLI, 17;NOALE;; a.traino@cab-log.it;
ESA  DI SACCONELLI ANDREA;AZIENDA;VIA FENILETTO;SAN MARTINO BUON ALBERGO;;andreasacconelli@gmail.com;
PESENTE SERVICE S.N.C.;AZIENDA;VIA MARIN FALIERO, 69;VERONA;045/565788;info@pesente.it;
ALFA SERVICE S.R.L.;AZIENDA;VIA LOMBARDIA, 5;SONA;458621181;costanzi@alfaservice.it;
VIGNOLA IMPIANTI TECNOLOGICI S.R.L.;AZIENDA;CORSO MILANO;VERONA;3482557960;vignolaenrico@gmail.com;
A.ESSE IMPIANTI S.R.L.;AZIENDA;VIA STELLA POLARE,16;SOMMACAMPAGNA;458619000;info@aesseimpianti.it;
STEGAGNO INDUSTRIALE S.P.A.;AZIENDA;VIALE PIAVE, 16;VERONA;458971051;direzione@stegagnospa.it;
STEGAGNO INDUSTRIALE S.P.A.;AZIENDA;VIALE PIAVE, 16;VERONA;458971051;direzione@stegagnospa.it;
TABARRINI RIMORCHI S.R.L.;AZIENDA;VIA MEZZACAMPAGNA, 25/A;VERONA;045 541156;info@tabarrini.it;
VALDOTECH S.A.S.;AZIENDA;VIA GIOVANNI FALCONE,1;SAN PIETRO IN CARIANO;456800068;domenico.zantedeschi@gmail.com;
AZIENDA AGRICOLA AMBROSI S.S.;AZIENDA;VIA SCORGNANO, 18;TREGNAGO;3495328761;nicola.bonomi@gmail.com;
AROMI S.R.L.;AZIENDA;VIA CASETTE, 31;NEGRAR;457111622;sara@aromicreativi.com;
ITALDES S.R.L.;AZIENDA;VIA STAFFALI, 8;VILLAFRANCA DI VERONA;456717569;amministrazione@italdes.it;
ITALMAC S.R.L.;AZIENDA;VIALE DEL LAVORO, 1;RONCO ALL'ADIGE;457000123;info@italmac.it;
GRUPPO ITALIANO VINI S.P.A.;AZIENDA;VILLA BELVEDERE;CALMASINO DI BARDOLINO;456269607;bigi@giv.it;
GRUPPO ITALIANO VINI S.P.A.;AZIENDA;VILLA BELVEDERE;CALMASINO DI BARDOLINO;456269607;bigi@giv.it;
GRUPPO ITALIANO VINI S.P.A.;AZIENDA;VILLA BELVEDERE;CALMASINO DI BARDOLINO;456269607;bigi@giv.it;
ALCOFER S.R.L.;AZIENDA;VIA SALISBURGO, 5;VERONA;45500051;sara@alcofer.it;
AUTOFFICINA R & B S.A.S;AZIENDA;VIA LIGURIA, 82;SONA;456090145;dallepezzesabina@gmail.com;
CORSI S.P.A.;AZIENDA;VIA SOMMACAMPAGNA, 22;VERONA;458628611;vanni@corsispa.it;
SAIE S.R.L. OLD;AZIENDA;VIALE DELLA REPUBBLICA, 16;SAN MARTINO BUON ALBERGO;458840272;info@saiesrl.it;
DIELETTRIC S.R.L.;AZIENDA;VIA STRADA DELLE TRINCEE, 15/D;VERONA;458550548;info@dielettric.it;
DLL SYSTEM S.R.L.;AZIENDA;VIA CACCIATORI DELLE ALPI, 11;VERONA;3357294894;diegofincato@dllsystem.it;
DLL SYSTEM S.R.L.;AZIENDA;VIA CACCIATORI DELLE ALPI, 11;VERONA;3357294894;diegofincato@dllsystem.it;
VERONA SALDATURA S.N.C.;AZIENDA;VIA DELLA SCIENZA;VERONA;458510133;info@veronasaldatura.it;
ARCHIVIO DI STATO;ENTE PUBBLICO;VIA SANTA TERESA, 6/12;VERONA;45594580;as-vr@beniculturali.it;
ARCHIVIO DI STATO;ENTE PUBBLICO;VIA SANTA TERESA, 6/12;VERONA;45594580;as-vr@beniculturali.it;
LO STUDIO LANGUAGE COURSES CAMBRIDGE;AZIENDA;SALISBURY VILLAS,6;STATION ROAD;;antonio_losito@alice.it;
TRENITALIA SPA;AZIENDA;VIA CARLO ALBERTO DALLA CHIESA,18;VERONA;3138348737;f.furnari@trenitalia.it;
TRENITALIA SPA;AZIENDA;VIA CARLO ALBERTO DALLA CHIESA,18;VERONA;3138348737;f.furnari@trenitalia.it;
TRENITALIA SPA;AZIENDA;VIA CARLO ALBERTO DALLA CHIESA,18;VERONA;3138348737;f.furnari@trenitalia.it;
TRENITALIA SPA;AZIENDA;VIA CARLO ALBERTO DALLA CHIESA,18;VERONA;3138348737;f.furnari@trenitalia.it;
TRENITALIA SPA;AZIENDA;VIA CARLO ALBERTO DALLA CHIESA,18;VERONA;3138348737;f.furnari@trenitalia.it;
IDRA S.R.L.;AZIENDA;VIA RAMBOLINA,7;BASSANO DEL GRAPPA;424568623;amministrazione@idraweb.it;
IDRA S.R.L.;AZIENDA;VIA RAMBOLINA,7;BASSANO DEL GRAPPA;424568623;amministrazione@idraweb.it;
AERONAUTICA - 3° STORMO VILLAFRANCA;ENTE PUBBLICO;VIA CALURI 1;VILLAFRANCA DI VERONA;456332214;;
INSIEME COOPERATIVA SOCIALE;COOPERATIVA;VIA COLONIA ORFANI DI GUERRA, 2;VERONA;458650538;segreteria@coopinsieme.it;
INSIEME COOPERATIVA SOCIALE;COOPERATIVA;VIA COLONIA ORFANI DI GUERRA, 2;VERONA;458650538;segreteria@coopinsieme.it;
BENDAZZOLI LUCIO IMPIANTI ELETTROTECNICI;AZIENDA;VIA TACCONI 2/A;PASTRENGO;457170664;luciobend@teletu.it;
TEKNO UNO S.R.L.;AZIENDA;VIA FRATELLI CERVI, 11;SAN MARTINO BUON ALBERGO;458780400;info@teknouno.it;
POLIFUNGHI S.R.L.;AZIENDA;VIA SOMMACAMPAGNA, 63;VERONA;458621129;polifunghi@gmail.com;
POLIFUNGHI S.R.L.;AZIENDA;VIA SOMMACAMPAGNA, 63;VERONA;458621129;polifunghi@gmail.com;
C.E.R. CONSORZIO ELETTROTECNICI RIUNITI;AZIENDA;VIA EUROPA UNITA', 26;BARDOLINO;456212374;info@certecnoelettro.it;
INFO PLUS SRL;AZIENDA;GRADINA VECHE;GALATI ;745091094;aditza_sava@yahoo.com ;
SOCIETA' HELLAS VERONA F.C. SPA;AZIENDA;VIA FRANCIA 21/D;VERONA;458186113;settoregiovanile@hellasverona.it;
SOCIETA' HELLAS VERONA F.C. SPA;AZIENDA;VIA FRANCIA 21/D;VERONA;458186113;settoregiovanile@hellasverona.it;
ITALIAN FOOD TRADING S.R.L.;AZIENDA;VIA DELL'ARTIGIANATO, 29;SOMMACAMPAGNA;458580774;nicola.bressan@italianfootrading.it;
UNIGRAF S.R.L.;AZIENDA;VIALE DELLA TECNICA, 23;POVEGLIANO VERONESE;457970000;info@unigrafonline.it;
VALIANTEC S.R.L.;AZIENDA;VIA DEI CAVALERI, 12;SONA;458681080;info@valiantec.com;
ING. POLIN & C. S.P.A.;AZIENDA;VIALE DELL'INDUSTRIA, 9;VERONA;458289100;paghe@polin.it;
ING. POLIN & C. S.P.A.;AZIENDA;VIALE DELL'INDUSTRIA, 9;VERONA;458289100;paghe@polin.it;
COMUNE DI SANT'AMBROGIO DI VALPOLICELLA;AZIENDA;VIA SENGIO,1;SANT'AMBROGIO DI VALPOLICELLA;456832624;pinali@comune.santambrogio.vr.it;
C.L. TECH TRADE SRL;AZIENDA;PIAZZA CARLO ZINELLI 1;SAN GIOVANNI LUPATOTO;458766758;info@cltechtrade.com;
SPERI MASSIMO E ROSSANO S.N.C.;AZIENDA;VIA ROSMINI, 7;VERONA;458034914;posta@autofficinasperi.it;
COMUNE DI VERONA;ENTE PUBBLICO;P.ZZA BRA', 1;VERONA;458077400;tirocini.lavoro@comune.verona.it;
AMT AZIENDA MOBILITA' E TRASPORTI S.P.A.;AZIENDA;VIA F. TORBIDO, 3/A;VERONA;452320025;nicolis@amt.it;
SUPERMERCATI MARTINELLI SRL;AZIENDA;C.SO VITTORIO EMANUELE, 242;VILLAFRANCA DI VERONA;457902199;michela@martinellisupermercati.it;
E.D.N. IMPIANTI S.R.L.;AZIENDA;VIA DEL PERLAR, 27;VERONA;458265068;info@ednimpianti.it;
E.D.N. IMPIANTI S.R.L.;AZIENDA;VIA DEL PERLAR, 27;VERONA;458265068;info@ednimpianti.it;
SHOPSI  S.R.L. SOCIO UNICO;AZIENDA;VIA L. BESI, 20/C;VERONA;458918611;linda.arieleconeglianoçnegoziobio.it;
SHOPSI  S.R.L. SOCIO UNICO;AZIENDA;VIA L. BESI, 20/C;VERONA;458918611;linda.arieleconeglianoçnegoziobio.it;
COMUNE DI ZEVIO;AZIENDA;VIA PONTE PEREZ, 2;ZEVIO;456068411; ecologia@comune.zevio.vr.it;
AUTOTRASPORTI TURATTI;AZIENDA;LARGO LAGORAI, 3;BUTTAPIETRA;456150088;mamife@libero.it;
POLATO IMPIANTI DI POLATO MASSIMO;AZIENDA;VIA ORTIGARA, 38/E;VILLAFRANCA DI VERONA;459203980;info@polatoimpianti.it;
AUTOTRASPORTI CTV VERONA S.R.L.;AZIENDA;VIA CARDUCCI 4A;ZEVIO;458738818;amministrazione@ctvtrasporti.it;
AUTOTRASPORTI CTV VERONA S.R.L.;AZIENDA;VIA CARDUCCI 4A;ZEVIO;458738818;amministrazione@ctvtrasporti.it;
AUTOMAH S.R.L.;AZIENDA;VIA MAESTRI DEL LAVORO 18;ZEVIO;456661770;Info@automah.it;
AUTOMAH S.R.L.;AZIENDA;VIA MAESTRI DEL LAVORO 18;ZEVIO;456661770;Info@automah.it;
AUTOMAH S.R.L.;AZIENDA;VIA MAESTRI DEL LAVORO 18;ZEVIO;456661770;Info@automah.it;
VETRERIA DO.LA.KA. S.R.L.;AZIENDA;VIA BINELUNGHE, 11;VERONA;458511530;info@dolaka.it;
NG SERVIZI S.A.S.;AZIENDA;VIA DELL'INDUSTRIA, 24;LUGAGNANO DI SONA;454851400;amministrazione@ng-servizi.net;
CESPED S.P.A.;AZIENDA;VIALE GRADO, 134;PAVIA DI UDINE;432659911;ffracco@cesped.it;
BERGEN S.R.L.;AZIENDA;VIA ROMA, 90;CASTEL D'AZZANO;45512090;logistica@bergen.it;
CARROZZERIA IMPERIA;AZIENDA;VIA VESTERLE, 1;CERRO VERONESE;457080713;imperiacerro@libero.it;
OPIFICIO DEI SENSI COOPERATIVA SOCIALE ONLUS;AZIENDA;VIA BROLO MUSELLA 27;SAN MARTINO BUON ALBERGO;458947356;tempomassimo@gmail.com;
FILITECH S.R.L.;AZIENDA;VIA LEGNAGO, 147/B;VERONA;458220012;afilippozzi@inwind.it;
LABONET S.R.L.;AZIENDA;VIA DEL PONTIERE, 3/C;VERONA;45597657;info@labonet.org;
PLUVITEC S.P.A.;AZIENDA;VIA QUADRELLI, 69;RONCO ALL'ADIGE;045 660811;ufficio.amministrazione@pluvitec.com;
FERRARI S.P.A.;AZIENDA;VIA MONZAMBANO, 65;PONTI SUL MINCIO;376808901;ferrari.giovanni@ferraricofani.it;
3C ELABORAZIONE DATI S.R.L.;AZIENDA;PIAZZA CARLO ZINELLI, 1;SAN GIOVANNI LUPATOTO;458221069;orietta.antoniazzi@3ced.org;
TH. KOHL S.R.L.;AZIENDA;VIALE DELL'INDUSTRIA, 37;BADIA CALAVENA;456511811; c.bottacini@thkohl.it;
SC NOUMAX S.R.L.;AZIENDA;VIA COSTACHE SIBICEANU, 15;BUCAREST;;service@noumax.ro;
SC NOUMAX S.R.L.;AZIENDA;VIA COSTACHE SIBICEANU, 15;BUCAREST;;service@noumax.ro;
ANDERLONI ARREDAMENTI;AZIENDA;VIA DELL'ARTIGIANATO, 1;VILLAFRANCA DI VERONA;458600723;info@anderloniarredamenti.it;
ANDERLONI ARREDAMENTI;AZIENDA;VIA DELL'ARTIGIANATO, 1;VILLAFRANCA DI VERONA;458600723;info@anderloniarredamenti.it;
MADA S.R.L.;AZIENDA;VIA F. BUSONI, 200;OPPEANO;456984151;amministrazione@mada-srl.com;
COMUNE DI CAVAION VERONESE;AZIENDA;PIAZZA G. FRACASTORO, 8;CAVAION VERONESE;456265719;segreteria@comunecavaion.it;
S.G. S.R.L.;AZIENDA;VIA DELL'ARTIGIANATO, 42;SAN MARTINO BUON ALBERGO;45983362;gambaretto@sgsrl.net;
MOROTTO RIPARAZIONI;AZIENDA;VIA PIOPPONE, 17;NOGARA;442510773;officinaitalianasas@gmail.com;
MEC CAR S.N.C.;AZIENDA;VIA SOMMACAMPAGNA, 59;VERONA;458620991;susanna@meccar.org;
MIOINDIRIZZO S.R.L.;AZIENDA;VIA ENRICO FERMI, 11/A;VERONA;;info@mioindirizzo.com;
TOR MEC AMBROSI S.R.L.;AZIENDA;VIA MAESTRI DEL LAVORO,16;ZEVIO;456050205;tormec@legalmail.it;
TOR MEC AMBROSI S.R.L.;AZIENDA;VIA MAESTRI DEL LAVORO,16;ZEVIO;456050205;tormec@legalmail.it;
TOR MEC AMBROSI S.R.L.;AZIENDA;VIA MAESTRI DEL LAVORO,16;ZEVIO;456050205;tormec@legalmail.it;
DIALOGO ITALIA S.R.L.;AZIENDA;VIA SOMMACAMPAGNA, 59/C;VERONA;459691100;ornella.filippozzi@dialogo-italia.com;
ELETTROFORTUNA S.R.L.;AZIENDA;VIA GOLOSINE, 196;VERONA;454931070;ileana@ripara.it;
INFORMETICA CONSULTING S.R.L.;AZIENDA;VIALE DEL LAVORO, 33;SAN MARTINO BUON ALBERGO;454857630;amministrazione@informeticons.com ;
INFORMETICA CONSULTING S.R.L.;AZIENDA;VIALE DEL LAVORO, 33;SAN MARTINO BUON ALBERGO;454857630;amministrazione@informeticons.com ;
"ISTITUTO COMPRENSIVO ""A. CESARI""";SCUOLA;VIA G. MARCONI, 76;CASTEL D'AZZANO;458520813;vric85900v@istruzione.it;
"ISTITUTO COMPRENSIVO ""A. CESARI""";SCUOLA;VIA G. MARCONI, 76;CASTEL D'AZZANO;458520813;vric85900v@istruzione.it;
INFOMAT SERVIZI S.R.L.;AZIENDA;VIA PONTE PEREZ 23/C;ZEVIO;458751526;gianpaolo.scalzotto@inFomat.it;
INFOMAT SERVIZI S.R.L.;AZIENDA;VIA PONTE PEREZ 23/C;ZEVIO;458751526;gianpaolo.scalzotto@inFomat.it;
INFOMAT SERVIZI S.R.L.;AZIENDA;VIA PONTE PEREZ 23/C;ZEVIO;458751526;gianpaolo.scalzotto@inFomat.it;
VERONA CLIMB S.R.L.;AZIENDA;VIA CA' DI MAZZE' FRAZ. PALAZZINA;VERONA;45582569;diego@kingrock.it;
EDALAB S.R.L.;AZIENDA;STRADA LE GRAZIE, 15;VERONA;458027062;segreteria@edalab.it;
ISTITUTO COMPRENSIVO BOSCO CHIESANUOVA;SCUOLA;PIAZZETTA ALPINI, 5;BOSCO CHIESANUOVA;045/6780521;segreteria@istitutobosco.it;
VOLVO ITALIA S.P.A.;AZIENDA;VIA DELLA TECNICA, 30;SOMMACAMPAGNA;458979500;elena.gallarati@volvo.com;
PARROCCHIA SANTA MARIA IMMACOLATA;ENTE RELIGIOSO;VIA SAN MARCO, 61;VERONA;45574439;giuseppelonardi@virgilio.it;
AITEMA S.R.L.;AZIENDA;STRADA DELL'ALPO, 64/E;VERONA;458538002;info@aitema.com;
FABE S.N.C.;AZIENDA;VIA ENRICO FERMI, 62;VERONA;458621945;info@fabetrasportisnc.it;
UNIVR DIREZIONE O.S.I.;ENTE PUBBLICO;VIA DELL'ARTIGLIERE, 8;VERONA;458027054;cristina.baietta@univr.it;
UNIVR DIREZIONE O.S.I.;ENTE PUBBLICO;VIA DELL'ARTIGLIERE, 8;VERONA;458027054;cristina.baietta@univr.it;
UNIVR DIREZIONE O.S.I.;ENTE PUBBLICO;VIA DELL'ARTIGLIERE, 8;VERONA;458027054;cristina.baietta@univr.it;
HANGARTNER TERMINAL S.R.L.;AZIENDA;VIA SOMMACAMPAGNA, 28;VERONA;458282411;nicola.zanini@dbschenker.com;
HANGARTNER TERMINAL S.R.L.;AZIENDA;VIA SOMMACAMPAGNA, 28;VERONA;458282411;nicola.zanini@dbschenker.com;
HANGARTNER TERMINAL S.R.L.;AZIENDA;VIA SOMMACAMPAGNA, 28;VERONA;458282411;nicola.zanini@dbschenker.com;
DKL SOC. COOP.;AZIENDA;VIA ORIANI, 2;VERONA;3666277283;commerciale@dkl.coop.it;
MANUTEC S.R.L.;AZIENDA;VIA CA' DI APRILI, 3/C;VERONA;45540439;posta@manutec.it;
MANUTEC S.R.L.;AZIENDA;VIA CA' DI APRILI, 3/C;VERONA;45540439;posta@manutec.it;
SCALIGERA GUARNIZIONI S.R.L.;AZIENDA;VIA CAV. VITTORIO VENETO, 29/A;RONCO ALL'ADIGE;457001831;amministrazione@scaligeraguarnizioni.it;
SCALIGERA GUARNIZIONI S.R.L.;AZIENDA;VIA CAV. VITTORIO VENETO, 29/A;RONCO ALL'ADIGE;457001831;amministrazione@scaligeraguarnizioni.it;
IAMEO GIACOMO SCAVI E LAVORI EDILI;AZIENDA;STRADA PROVINCIALE, 330;ALIFE;3200262056;ant.sassocap@libero.it;
TELAROSA S.R.L.;AZIENDA;VIA OTTAVIO CACCIA, 17/A;VERONA;458181300;c.peretti@telarosa.com;
DISCOS S.R.L.;AZIENDA;VIA CASOTTON, 16;OPPEANO;457130124;info@discos.it;
DISCOS S.R.L.;AZIENDA;VIA CASOTTON, 16;OPPEANO;457130124;info@discos.it;
BRIO S.P.A.;AZIENDA;VIA MANZONI, 99;ZEVIO;458351777;personale@briospa.com;
AVVOCATO AUDISIO ANTONELLA;AZIENDA;VIA DANIELE MANIN, 5;VERONA;45592599;avvantonellaaudisio@gmail.com;
COMUNE DI PESCHIERA;ENTE PUBBLICO;PIAZZALE BETTELONI, 3;PESCHIERA DEL GARDA;0457553494 - 0456400600;servizioeducativo@comune.peschieradelgarda.vr.it;
NOVA SYSTEMS SERVICES S.R.L.;AZIENDA;VIALE DEL LAVORO, 39;SAN MARTINO BUON ALBERGO;458788211;bavesani@novasystems.it;
NOVA SYSTEMS SERVICES S.R.L.;AZIENDA;VIALE DEL LAVORO, 39;SAN MARTINO BUON ALBERGO;458788211;bavesani@novasystems.it;
NOVA SYSTEMS SERVICES S.R.L.;AZIENDA;VIALE DEL LAVORO, 39;SAN MARTINO BUON ALBERGO;458788211;bavesani@novasystems.it;
A.P.S. CUCINAVERARTE;ASSOCIAZIONE;STRADA LA RIZZA, 651B;VERONA;3476772161;nicola.casadei@cucinaverarte.eu;
FIBERING S.P.A.;AZIENDA;VIALE RESTELLI 3/1;MILANO;200632100;info@fibering.com;
AUDIOVIDEOTECNICA S.N.C.;AZIENDA;VIA CALCARA 38B;CEREA;44280744;info@audiovideotecnica.it;
FONDAZIONE BRUNO KESSLER;UNIVERSITÀ;VIA S.CROCE,77;TRENTO;461314200;webvalley@fbk.eu;
FONDAZIONE BRUNO KESSLER;UNIVERSITÀ;VIA S.CROCE,77;TRENTO;461314200;webvalley@fbk.eu;
FERRARI BK SRL;AZIENDA;VIA SANTA CATERINA 7;CERRO VERONESE;458819531;m.ferrari@ferraribk.it;
LUBLIGHT;AZIENDA;VIA A. MONDADORI 38;VERONA;458921195;info@lubtech.it;
AIDI SRL;AZIENDA;VIALE DEL LAVORO 51;BUTTAPIETRA;456660183;info@aidisrl.it;
M & M COMPUTER CONSULTING S.A.S;AZIENDA;VIA SCUDERLANDO 280;VERONA;045 505722;commerciale@computer.veneto.it;
ABISIT SRL;AZIENDA;L. SETTEMBRINI 8;VERONA;458005608;info@absit.it;
ELCOGRAF;AZIENDA;VIA MONDADORI ,15;VERONA;045/934286;simone.baldo@verona.pozzoni.it;
PERFORMANCE IN LIGHTING SPA;AZIENDA;VIALE DEL LAVORO 9/11;COLOGNOLA AI COLLI;456159211;k.castagna@pil.lighting;
ACCIAIERIE DI VERONA;AZIENDA;ZONA INDUSTRIALE RIVOLI;OSOPPO;458058515;riccardo.olivieri@pittini.it;
ERNST ABBE GYMNASIUM;AZIENDA;HIGHBROOK DRIVE,60;AUCKLAND;07364-96130;;
BPS COMPUTER SRL;AZIENDA;PIAZZA UMBERTO I, 47;SAN GIOVANNI LUPATOTO;45549872;stefania@bpscomputer.it;
DOMUS SANA STUDIO;AZIENDA;VIA POERIO,15;VERONA;3483396540;info@domus-sana.it;
STUDIO GRAPHICS DESIGNER;AZIENDA;VIA GENOVA,19;BOVOLONE;457100634;info@studiographicsdesigner.it;
OFFICINA ZANTEDESCHI SNC;AZIENDA;VIA CA' DEDE 6;SAN PIETRO IN CARIANO;457701713;zantedeschitrattori@alice.it;
MOTUS TEAM;AZIENDA;VIA VAGO,15;CALDIERO;45982535;motus@bici-scooter.it;
STUDIO SOLUZIONI IT DI CASSINI LUCA;AZIENDA;VIA GIRASOLE,8;CALDIERO;3391449775;cassini@dotc.it;
MASTELLA G.&M.SNC;AZIENDA;VIA DELLE ROSE,5;VERONA;45557137;gioemiche@alice.it;
C.L.TECH SRL;AZIENDA;VIS SCHIAPPARELLI,7;SAN GIOVANNI LUPATOTO;458766750;info@cltechsrl.it;
FUSTELLIFICIO ARENA SRL;AZIENDA;E.TORRICELLI,35;VERONA;459511332;ufficio@fustellificioarena.it;
M B ACCUMULATORI SRL;AZIENDA;VIA DEL LAVORO,22;BUSSOLENGO;456703743;marco@mbaccumulatori.com;
ASD TEAM BMX VERONA;ASSOCIAZIONE;VIA BELVEDERE 151;VERONA;;lindaspiazzi@libero.it;
IRCCS OSPEDALE SACRO CUORE DON CALABRIA;AZIENDA;VIA DON SEMPREBONI, 5;NEGRAR;456013111;informazioni@sacrocuore.it;
CLX EUROPE SPA;AZIENDA;VIA DELL'ARTIGIANATO,8;VERONA;458294999;luciuim.b@clxeurope.com;
COOPERATIVA SOCIALE SI-FA;COOPERATIVA;VIA F.CASAROTI 35 ,;VERONA;3296543586;sifa.coop@gmail.com;
SCALIGERA ARREDAMENTI S.R.L.;AZIENDA;VIA DELLA SCIENZA,17;VERONA;458510638;info@scaligeraarredamenti.com;
INFRAMEDIA SRL;AZIENDA;VIA DELLA CONSORTIA,23;VERONA;458341329;info@inframedia.org;
ESSEPI PROFESSIONAL SERVICE DI PUVANARATNAM SANGEEVAN;AZIENDA;VIA TRENTO,78;CASTELNUOVO DEL GARDA;3207487229;info@essepi.org;
SINECTRA S.R.L.;AZIENDA;VIA VILLABELLA, 24/A;VERONA;456108147;risorseumane@sinectra.it;
REDORO S.R.L. FRANTOI VENETI;AZIENDA;VIA MARCONI,30;GREZZANA;45907622;amministrazione@redoro.it;
TECNOLOGIE S.A.S. DI CANTERI LUCA & C.;AZIENDA;VIALE DELL'INDUSTRIA, 3;GREZZANA;3497782095;info@computerverona.it;
RPN IMPIANTI SNC;AZIENDA;VIA POSTUMIA,74;VILLAFRANCA;456303108;rpn.impianti@legalmail.it;
NEW INFORMATICA;AZIENDA;PIAZZA GARIBALDI,12/B;RONCO ALL'ADIGE;456615360;info@newinformatica.it;
QUALITA' CLUB SELECTION SRL;AZIENDA;VILALE DEL LAVORO 22G;SAN MARTINO BUON ALBERGO;457834507;info@qualitaclub.it;
TOMELINI MULTSERVICE SRL;AZIENDA;VIA MONTE CAREGA,1A;CERRO VERONESE;457080124;info@tomultiservice.it;
ELETTROMECCANICA AMADORI A OFFICINA 33 SRL;AZIENDA;VIA DELLA SIDERURGIA,18;VERONA;458510390;elettrom.amadori@tiscali.it;
AUDIO SERVICE MULTIMEDIA DI COMPAROTTO STEFANO;AZIENDA;VIA GARIBALDI,5/23;S.GIOVANNI LUPATOTO;45583440;audioservicevr.com;
PARROCCHIA S. MARIA AUSILIATRICE;ENTE RELIGIOSO;VIA G.PRATI  10;VERONA;45913422;smausiliatriceverona@gmail.com;
NORDEST GROUP SRL;AZIENDA;VIA GARBINI,15;VERONA;45502755;info@nordest-group.com;
ASSOCIAZIONE 'VOLEREVOLARE ONLUS';ASSOCIAZIONE;VIA FAZZANO 83;CORREGGIO;3921089132;;
CAMPEGGIO SPIAGGIA D'ORO S.R.L.;AZIENDA;VIA GARDESANA,122;LAZISE;45758007;;
SELENE LIBRI S.R.L. LIBRACCIO;AZIENDA;VIA B.ANGELICO,21;MONZA;303754342;bresciaamministrazione@libraccio.it;
COPYGRAPH SRL;;VIA 1 MAGGIO N.20/C;MOZZECANE;456340570;amministrazione@copygraph.it;
SAVOIA VALENTINO STUDIO DI INGEGNERIA;AZIENDA;VIA G.DELEDDA,23;SONA;3405542460;ing_savoia@yahoo.it;
PROJECT SYSTEM SRL;AZIENDA;VIA DELL'INDUSTRIA,24/1;SONA;456082164;info@projectsystem.it;
LUX E PAOLA SRL;AZIENDA;VIA PONTE,27/A;SAN MARTINO BUON ALBERGO;45994472;sanmartinobuonalbergo@puffcigarette.com;
NOLEGGIARE SRL;AZIENDA;VIA A.DE GASPERI,14/1;TRENTO;452059301;info@noleggiare.it;
BALZARIN S.R.L.;AZIENDA;VIA GERMANIA 11;VERONA;458620017;info@balzarin.it;
MEC STUDIO SRLS;AZIENDA;VIA ZANCLE,6;VERONA;3453280668;info@mec-studio.it;
GI.GA. PNEUS SNC;AZIENDA;VIA MILANO, 155;CASTELNUOVO DEL GARDA;457570542;info@gigapneus.it;
STUDIO PROTECNO SRL;AZIENDA;VIA ALBERE,29/A;VERONA;45567955;info@studioprotecno.it;
ARCESE TRASPORTI SPA;AZIENDA;VIA ALDO MORO 95;ARCO;454573216;;
NOVAMIND S.N.C.;AZIENDA;VIA VITTORIO VENETO;ISOLA DELLA SCALA;456630515;info@novimind.it;
MECCANICA MURARI SRL;AZIENDA;VIA TORINO,5;NEGRAR;457513476;info@meccanicamurari.it;
